Date,Group,Team_A_Code,Team_A,Score_A,Team_B_Code,Team_B,Score_B,Winner,Venue,Round
2025-10-18,D,DAR,Dar City,83,NAM,Namuwongo Blazers,70,DAR,IST Gymnasium - Dar es Salaam,Group Phase
2025-10-17,D,DJA,Djabal Club,50,DAR,Dar City,102,DAR,IST Gymnasium - Dar es Salaam,Group Phase
2025-10-19,D,NAM,Namuwongo Blazers,132,DJA,Djabal Club,58,NAM,IST Gymnasium - Dar es Salaam,Group Phase
2025-10-28,E,FBE,Ferroviario da Beira,94,HOU,Basket Hounds,60,FBE,NASDEC Sports Complex - Lusaka,Group Phase
2025-10-28,E,MMA,Matero Magic,68,DOL,Dolphins,59,MMA,NASDEC Sports Complex - Lusaka,Group Phase
2025-11-01,E,JOH,Johannesburg Giants,77,FBE,Ferroviario da Beira,68,JOH,NASDEC Sports Complex - Lusaka,Group Phase
2025-11-01,E,MMA,Matero Magic,74,BHB,Bravehearts,59,MMA,NASDEC Sports Complex - Lusaka,Group Phase
