Season,Team,Tournament,Status,Notes,Group_Stats
2022 BAL,Ferroviario da Beira,BAL Main Tournament,Participated,First BAL appearance,
2023 BAL,Ferroviario da Beira,BAL Main Tournament,Participated,Second consecutive BAL appearance,
2026 Road to BAL,Ferroviario da Beira,Elite 16 - Group E,Qualified (4-1 record),"Group E runner-up, advancing to Elite 16 Group B","W: 4, L: 1, PF: 432, PA: 378, PD: +54"
