Team,Tier,Country,Prelim_Group,Prelim_GP,Prelim_Wins,Prelim_Losses,Prelim_PF,Prelim_PA,Prelim_PD,Prelim_PPG,Elite16_GP,Elite16_Wins,Elite16_Losses,Elite16_PF,Elite16_PA,Elite16_PD,Elite16_PPG,Elite16_OppPPG,Total_GP,Total_Wins,Total_Losses,Total_PF,Total_PA,Elite16_Games,Total_PD,Total_PPG,Total_Win_Pct
Nairobi City Thunder,Tier 1,Kenya,,0,0,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,No games yet,0,0.0,0.0
Ferroviario da Beira,Tier 1,Mozambique,Group E,5,4,1,432,378,54,86.4,2,1,1,162,137,25,81.0,68.5,7,5,2,594,515,W 94-60 vs Basket Hounds (2025-10-28) | L 68-77 vs Johannesburg Giants (2025-11-01),79,84.9,0.714
Bravehearts,Tier 3,Malawi,Group E,5,2,3,346,354,-8,69.2,1,0,1,59,74,-15,59.0,74.0,6,2,4,405,428,L 59-74 vs Matero Magic (2025-11-01),-23,67.5,0.333
