team,code,tier,group,games_played,wins,losses,points_for,points_against,point_diff
Nairobi City Thunder,NCT,Tier 1,Group A,0,0,0,0,0,0
Ferroviario Da Beira,FBE,Tier 1,Group B,0,0,0,0,0,0
Bravehearts,BHB,Tier 3,Group B,0,0,0,0,0,0
