Team,Code,Tier,Elite16_Group,Games_Played,Wins,Losses,Win_Pct,Points_For,Points_Against,Point_Diff,PPG,Opp_PPG,Status,Notable_Games
Nairobi City Thunder,NCT,Tier 1,Group A,0,0,0,N/A,0,0,0,N/A,N/A,Not Started - Elite 16,"Host team, Group A not yet started"
Ferroviario da Beira,FBE,Tier 1,Group B,1,1,0,1.000,94,60,+34,94.0,60.0,In Progress - Elite 16,"Beat Basket Hounds 94-60 (Oct 28), Lost to Johannesburg Giants 68-77 (Nov 1)"
Bravehearts,BHB,Tier 3,Group B,1,0,1,0.000,59,74,-15,59.0,74.0,In Progress - Elite 16,"Lost to Matero Magic 59-74 (Nov 1)"
