Team,Country,Tier,Preliminary_Group,Stage,Games_Played,Wins,Losses,Win_Pct,Points_For,Points_Against,Point_Diff,PPG,Opp_PPG,Qualification_Status,Final_Position,Notable_Results
Dar City,Tanzania,Tier 3,Group D,Preliminary Round,2,2,0,1.000,185,120,+65,92.5,60.0,Advanced to Elite 16,1st in Group D,"Beat Djabal Club 102-50, Beat Namuwongo Blazers 83-70"
Namuwongo Blazers,Uganda,Tier 2,Group D,Preliminary Round,2,1,1,0.500,202,141,+61,101.0,70.5,Advanced to Elite 16,2nd in Group D,"Blowout win vs Djabal 132-58, Lost to Dar City 70-83"
Johannesburg Giants,South Africa,Tier 2,Group E,Preliminary Round,5,5,0,1.000,362,280,+82,72.4,56.0,Advanced to Elite 16,1st in Group E (Undefeated),"Perfect 5-0 record, Beat Matero Magic, Lost to Beira in Elite 16 (68-77)"
Ferroviario da Beira,Mozambique,Tier 1,Group E,Preliminary Round,5,4,1,0.800,432,378,+54,86.4,75.6,Advanced to Elite 16,2nd in Group E,"Strong scoring output (432 PF), Beat Basket Hounds 94-60 in Elite 16"
Matero Magic,Zambia,Tier 2,Group E,Preliminary Round,5,3,2,0.600,383,280,+103,76.6,56.0,Advanced to Elite 16,3rd in Group E,"Host team advantage, Beat Bravehearts 74-59 in Elite 16, Lost to Giants and Beira"
Bravehearts,Malawi,Tier 3,Group E,Preliminary Round,5,2,3,0.400,346,354,-8,69.2,70.8,Advanced to Elite 16,4th in Group E,"5x Malawian champions, Negative point diff, Lost to Matero 59-74 in Elite 16"
Nairobi City Thunder,Kenya,Tier 1,N/A,Direct Entry (Host),0,0,0,N/A,0,0,0,N/A,N/A,Elite 16 - Group A,Host team - Direct qualification,"No preliminary games, 2025 BAL: 79.0 PPG (1-5 record)"
