team,table_index,row_data,source
Nairobi City Thunder,0,18. | Garang Diing AkolDiing(NCT) | 9 | 28.9 | 12.1 | 109 | 4.7-7.1 | 65.6 | 2-3.1 | 64.3 | 0.8-1 | 77.8,rtb_2025
Nairobi City Thunder,0,19. | UcheIroegbu(NCT) | 8 | 21.7 | 11.6 | 93 | 4-8.4 | 47.8 | 1.4-3.5 | 39.3 | 2.3-3.1 | 72,rtb_2025
Nairobi City Thunder,0,21. | Derrick MekenyeOgechi(NCT) | 9 | 23.1 | 11.2 | 101 | 3.9-8.6 | 45.5 | 1.9-4.7 | 40.5 | 1.6-1.7 | 93.3,rtb_2025
Nairobi City Thunder,0,23. | TylorOngwae(NCT) | 7 | 23.5 | 10.9 | 76 | 4-8.9 | 45.2 | 1.9-4.9 | 38.2 | 1-1.6 | 63.6,rtb_2025
Nairobi City Thunder,0,25. | AbdoulayeHarouna Amadou(NCT) | 5 | 20.9 | 10.6 | 53 | 3.4-8.6 | 39.5 | 2.6-7.4 | 35.1 | 1.2-1.8 | 66.7,rtb_2025
Nairobi City Thunder,0,27. | AlbertOdero(NCT) | 9 | 19.5 | 10.1 | 91 | 4.2-8.4 | 50 | 0.4-2 | 22.2 | 1.2-1.7 | 73.3,rtb_2025
Nairobi City Thunder,0, | AterMajok(NCT) | 5 | 22.3 | 9.2 | 46 | 4-7 | 57.1 | 0.4-1 | 40 | 0.8-1.8 | 44.4,rtb_2025
Nairobi City Thunder,0,33. | KennedyWachira(NCT) | 7 | 12.9 | 9.1 | 64 | 3-7 | 42.9 | 2.3-5.1 | 44.4 | 0.9-0.9 | 100,rtb_2025
