Team_Code,Team_Name,Group,W,L,PF,PA,PD,PTS,Status
DAR,Dar City,D,2,0,185,120,+65,4,Qualified
NAM,Namuwongo Blazers,D,1,1,202,141,+61,3,Qualified
NCT,Nairobi City Thunder,A,0,0,0,0,0,0,Not Started
JOH,Johannesburg Giants,E,1,0,77,68,+9,2,In Progress
FBE,Ferroviario da Beira,E,1,0,94,60,+34,2,In Progress
MMA,Matero Magic,E,2,0,142,118,+24,4,In Progress
BHB,Bravehearts,E,0,1,59,74,-15,1,In Progress
