Team,Total Records,RTB 2025,FIBA History,BAL Teams,BAL Stats,Basketball24
Nairobi City Thunder,8,8,0,0,0,0
Namuwongo Blazers,0,0,0,0,0,0
Johannesburg Giants,0,0,0,0,0,0
Ferroviario Da Beira,0,0,0,0,0,0
Matero Magic,0,0,0,0,0,0
Dar City,0,0,0,0,0,0
Bravehearts,0,0,0,0,0,0
