Metric,Value
Points per game,79.0
2FG%,46.6%
3FG%,28.2%
FT%,58.2%
Offensive Rebounds,13.8
Defensive Rebounds,25.8
Total Rebounds,39.7
Assists per game,18.7
Turnovers per game,14.2
Steals per game,7.8
Blocks per game,3.2
Opponent Points per game,89.8
2FG%,54.7%
3FG%,33.3%
